"outlet_massflowrate-rfile"
"Iteration" "outlet_massflowrate"
("Iteration" "outlet_massflowrate")
1 -173.0606993424357
2 -173.3506874685949
3 -173.4695035908294
4 -173.4854437268305
5 -173.5363071702925
6 -173.5141521488206
7 -173.4960952944312
8 -173.4805480437173
9 -173.478048673304
10 -173.4843080261255
11 -173.4912283990581
12 -173.4999955067427
13 -173.5010515934069
14 -173.4995172003636
15 -173.4994192644726
16 -173.503555875398
17 -173.5024672607939
18 -173.5007353385628
19 -173.5006932188325
20 -173.502079522004
21 -173.5012767595442
22 -173.4982367874732
23 -173.4951727968705
24 -173.489626678967
25 -173.4825137212088
26 -173.4705083767618
27 -173.4617599213473
28 -173.4577744186217
29 -173.4616446431217
30 -173.463276342223
31 -173.466069329867
32 -173.4668828192511
33 -173.4668434532269
34 -173.4651374099391
35 -173.4656232009369
36 -173.4653934124802
37 -173.4687115727464
38 -173.4723824969709
39 -173.4751399072831
40 -173.4767955177573
41 -173.47733609876
42 -173.4779329002403
43 -173.4784772806015
44 -173.4789260366922
45 -173.4796193210348
46 -173.4801074047134
47 -173.4796439477058
48 -173.478714457346
49 -173.4780289898402
50 -173.4775549464884
51 -173.4771229859737
52 -173.4768519863806
53 -173.4767587495587
54 -173.4768936053351
55 -173.4771978710428
56 -173.4775557428516
57 -173.4778514444044
58 -173.4780393414931
59 -173.4781137822701
60 -173.4780446839297
61 -173.4778362263091
62 -173.4776050159021
63 -173.4774634439191
64 -173.477359925156
65 -173.4772383062791
66 -173.4770965786849
67 -173.4769677169402
68 -173.4768954830379
