[Name]
X values at /LINE:outletXvalues

[Data]
X [ m ],Temperature [ K ]
1.01851001e-01, 3.33150391e+02
1.07116267e-01, 3.33150146e+02
1.12381533e-01, 3.33150299e+02
1.17646798e-01, 3.33151001e+02
1.22912064e-01, 3.33152435e+02
1.28177330e-01, 3.33158478e+02
1.33442596e-01, 3.33173187e+02
1.38707861e-01, 3.33225555e+02
1.43973127e-01, 3.33307251e+02
1.49238393e-01, 3.33618469e+02
1.54503658e-01, 3.34113434e+02
1.59768924e-01, 3.34860535e+02
1.65034190e-01, 3.36395660e+02
1.70299456e-01, 3.38734283e+02
1.75564721e-01, 3.41220886e+02
1.80829987e-01, 3.44205994e+02
1.86095253e-01, 3.47618622e+02
1.91360518e-01, 3.50476135e+02
1.96625784e-01, 3.51804657e+02
2.01891050e-01, 3.48258667e+02


