[Name]
X at /LINE:outletXvalues

[Data]
X [ m ],Velocity [ m s^-1 ]
1.01851001e-01, 0.00000000e+00
1.07116267e-01, 1.88998833e+01
1.12381533e-01, 1.83012486e+01
1.17646798e-01, 1.79901257e+01
1.22912064e-01, 1.79171505e+01
1.28177330e-01, 1.82259121e+01
1.33442596e-01, 1.87195244e+01
1.38707861e-01, 1.98022060e+01
1.43973127e-01, 2.06178017e+01
1.49238393e-01, 2.14336681e+01
1.54503658e-01, 2.21631565e+01
1.59768924e-01, 2.28034649e+01
1.65034190e-01, 2.33169594e+01
1.70299456e-01, 2.37664757e+01
1.75564721e-01, 2.41230011e+01
1.80829987e-01, 2.44790115e+01
1.86095253e-01, 2.47431984e+01
1.91360518e-01, 2.48303299e+01
1.96625784e-01, 2.42558403e+01
2.01891050e-01, 1.02892771e+01


