
[Name]
inlet big

[Data]
X [ m ], Y [ m ], Z [ m ]
-2.03199998e-01, -1.60100818e-01, -2.65298113e-02
-2.03199998e-01, -1.62535906e-01, -3.36892754e-02
-2.03199998e-01, -1.65846929e-01, -3.52670625e-02
-2.03199998e-01, -1.70867056e-01, -3.29682939e-02
-2.03199998e-01, -1.71895042e-01, -2.94789504e-02
-2.03199998e-01, -1.68329313e-01, -2.30250526e-02
-2.03199998e-01, -1.63328260e-01, -2.22826023e-02
-2.03199998e-01, -1.79976061e-01, -2.94241402e-02
-2.03199998e-01, -1.77643582e-01, -2.72701103e-02
-2.03199998e-01, -1.73161313e-01, -3.46200280e-02
-2.03199998e-01, -1.65553346e-01, -3.81466895e-02
-2.03199998e-01, -1.59802303e-01, -3.70822288e-03
-2.03199998e-01, -1.60936683e-01, 1.23941910e-03
-2.03199998e-01, -1.55964926e-01, 6.45550061e-03
-2.03199998e-01, -1.48849159e-01, 5.48090599e-03
-2.03199998e-01, -1.46085367e-01, 5.41996305e-05
-2.03199998e-01, -1.49019837e-01, -5.19548822e-03
-2.03199998e-01, -1.54607236e-01, -6.50223950e-03
-2.03199998e-01, -1.44914225e-01, -1.22513501e-02
-2.03199998e-01, -1.50545448e-01, -1.79595780e-02
-2.03199998e-01, -1.55522645e-01, -1.54103795e-02
-2.03199998e-01, -1.38761580e-01, -6.71377813e-04
-2.03199998e-01, -1.35808364e-01, -7.21818209e-03
-2.03199998e-01, -1.40118122e-01, -1.28988745e-02
-2.03199998e-01, -1.44803137e-01, 1.20096384e-02
-2.03199998e-01, -1.58491805e-01, 1.35343336e-02
-2.03199998e-01, -1.54008090e-01, 1.84690021e-02
-2.03199998e-01, -1.48736924e-01, 1.79823861e-02
-2.03199998e-01, -1.68278053e-01, 3.63927591e-03
-2.03199998e-01, -1.69382155e-01, 1.02491276e-02
-2.03199998e-01, -1.64159924e-01, 1.48557788e-02
-2.03199998e-01, -1.40548751e-01, 1.23784104e-02
-2.03199998e-01, -1.36437804e-01, 9.22173169e-03
-2.03199998e-01, -1.35362700e-01, 3.53502994e-03
-2.03199998e-01, -1.61297023e-01, -1.71027295e-02
-2.03199998e-01, -1.65930390e-01, -1.01665650e-02
-2.03199998e-01, -1.68131232e-01, -9.96272545e-03
-2.03199998e-01, -1.71932623e-01, -5.24948072e-03
-2.03199998e-01, -1.71577960e-01, 9.39036836e-04
-2.03199998e-01, -1.57468587e-01, -3.99934985e-02
-2.03199998e-01, -1.57150224e-01, -3.66133228e-02
-2.03199998e-01, -1.73197418e-01, -1.89430974e-02
-2.03199998e-01, -1.79488093e-01, -2.27258485e-02
-2.03199998e-01, -1.85533375e-01, -2.28848644e-02
-2.03199998e-01, -1.83012456e-01, -2.07403302e-02
-2.03199998e-01, -1.73520416e-01, -1.53493872e-02
-2.03199998e-01, -1.84003159e-01, -1.48107409e-02
-2.03199998e-01, -1.79565698e-01, -1.23059740e-02
-2.03199998e-01, -1.89464375e-01, -1.52523695e-02
-2.03199998e-01, -1.87376156e-01, -1.31547032e-02
-2.03199998e-01, -1.78971767e-01, -7.26670353e-03
-2.03199998e-01, -1.88892409e-01, -7.37201422e-03
-2.03199998e-01, -1.86646059e-01, -3.78895411e-03
-2.03199998e-01, -1.82104215e-01, -3.68688256e-03
-2.03199998e-01, -1.91683337e-01, -6.73100725e-03
-2.03199998e-01, -1.91983536e-01, 2.15867814e-03
-2.03199998e-01, -1.88835263e-01, 1.69821840e-03
-2.03199998e-01, -1.78488463e-01, 2.34422553e-03
-2.03199998e-01, -1.86898366e-01, 5.26913162e-03
-2.03199998e-01, -1.80138320e-01, 5.24206134e-03
-2.03199998e-01, -1.90292239e-01, 1.10641960e-02
-2.03199998e-01, -1.87501431e-01, 1.02200694e-02
-2.03199998e-01, -1.78588942e-01, 1.04278149e-02
-2.03199998e-01, -1.84326023e-01, 1.39724473e-02
-2.03199998e-01, -1.86702788e-01, 1.94365829e-02
-2.03199998e-01, -1.84087321e-01, 1.80303399e-02
-2.03199998e-01, -1.81380332e-01, 2.67641749e-02
-2.03199998e-01, -1.79031625e-01, 2.49176268e-02
-2.03199998e-01, -1.80506095e-01, 2.05249451e-02
-2.03199998e-01, -1.74589053e-01, 1.25391148e-02
-2.03199998e-01, -1.75254986e-01, 1.78520512e-02
-2.03199998e-01, -1.70443565e-01, 2.26098094e-02
-2.03199998e-01, -1.73458427e-01, 2.75513828e-02
-2.03199998e-01, -1.74578726e-01, 3.27213481e-02
-2.03199998e-01, -1.72355652e-01, 3.11930515e-02
-2.03199998e-01, -1.61904901e-01, 2.61030123e-02
-2.03199998e-01, -1.66299477e-01, 2.17121430e-02
-2.03199998e-01, -1.66931480e-01, 3.39402556e-02
